Issue Type,Issue key,Issue id,Summary,Status,Labels,Reporter,Resolved,Resolution,Assignee,Created,Custom field (BUH real date),Custom field (BUH Total amount with VAT),Custom field (Accountant),Custom field (BUH Payment Currency),Custom field (BUH ID Income/Consumption),Custom field (BUH Act Date),Custom field (BUH Company),Custom field (BUH CFO / Budget Item)
Подготовка актов и счетов,BUH-113965,1219137,Выставление актов: UZPSB2500008 (Этапы 1 и 2),Waiting for Pay,,mariya.kozyreva,,,n.chubukinasolovey,16.01.2026 16:13,,,mariya.saveleva,,D_UZPSB2500006/1,30.01.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-113751,1216680,Выставление актов: проценты по займу за декабрь 2025 - ADM-51574,Waiting for Pay,отправлено,mariya.saveleva,,,mariya.saveleva,13.01.2026 16:56,,,mariya.saveleva,,-,31.12.2025 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-112986,1211298,Выставление актов: CBQ2500003,Closed,,anastasiya.bardina,06.03.2026 10:13,Исправлено/Выполнено,n.chubukinasolovey,24.12.2025 09:56,05.03.2026 00:00,,n.chubukinasolovey,,D_CBQ2500005/2,30.12.2025 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-112983,1211290,Выставление актов: CBQ2500003,Closed,,anastasiya.bardina,06.03.2026 10:20,Исправлено/Выполнено,n.chubukinasolovey,24.12.2025 09:53,05.03.2026 00:00,,n.chubukinasolovey,,D_CBQ2500004/2,30.12.2025 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-112978,1211280,Выставление актов: CBQ2500003,Closed,,anastasiya.bardina,06.03.2026 10:26,Исправлено/Выполнено,n.chubukinasolovey,24.12.2025 09:49,05.03.2026 00:00,,n.chubukinasolovey,,D_CBQ2500003/2,30.12.2025 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-112846,1210695,Выставление актов: NDS2500001,Waiting for Pay,,anastasiya.pisareva,,,mariya.saveleva,23.12.2025 11:59,,,mariya.saveleva,,D_NDS2500002/1,31.12.2025 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-112229,1207107,Выставление актов: CBQ2500003,Closed,,Alexandr.Voronkov,30.01.2026 10:13,Исправлено/Выполнено,n.chubukinasolovey,15.12.2025 16:01,29.01.2026 00:00,,n.chubukinasolovey,,D_CBQ2500004/1,30.11.2025 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-112228,1207106,Выставление актов: CBQ2500003,Closed,,Alexandr.Voronkov,30.01.2026 10:13,Исправлено/Выполнено,n.chubukinasolovey,15.12.2025 16:00,29.01.2026 00:00,,n.chubukinasolovey,,D_CBQ2500003/1,30.11.2025 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-112227,1207102,Выставление актов: CBQ2500003,Closed,,Alexandr.Voronkov,30.01.2026 10:12,Исправлено/Выполнено,n.chubukinasolovey,15.12.2025 15:58,29.01.2026 00:00,,n.chubukinasolovey,,D_CBQ2500005/1,30.11.2025 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-112022,1205919,Выставление актов: YKVUAE2500008,Waiting for Pay,,sofiya.adzhiniyazova,,,n.chubukinasolovey,11.12.2025 17:28,,,n.chubukinasolovey,,D_YKVUAE2500014/3,26.12.2025 00:00,DBAD - Databorn FZ LLC Abu Dhabi,
